,CCA3,Country,2022 Population,2020 Population
0,AFG,Afghanistan,41128771,38972230
1,ALB,Albania,2842321,2866849
2,DZA,Algeria,44903225,43451666
3,ASM,American Samoa,44273,46189
4,AND,Andorra,79824,77700
5,AGO,Angola,35588987,33428485
6,AIA,Anguilla,15857,15585
7,ATG,Antigua and Barbuda,93763,92664
8,ARG,Argentina,45510318,45036032
9,ARM,Armenia,2780469,2805608
10,ABW,Aruba,106445,106585
11,AUS,Australia,26177413,25670051
12,AUT,Austria,8939617,8907777
13,AZE,Azerbaijan,10358074,10284951
14,BHS,Bahamas,409984,406471
15,BHR,Bahrain,1472233,1477469
16,BGD,Bangladesh,171186372,167420951
17,BRB,Barbados,281635,280693
18,BLR,Belarus,9534954,9633740
19,BEL,Belgium,11655930,11561717
20,BLZ,Belize,405272,394921
21,BEN,Benin,13352864,12643123
22,BMU,Bermuda,64184,64031
23,BTN,Bhutan,782455,772506
24,BOL,Bolivia,12224110,11936162
25,BIH,Bosnia and Herzegovina,3233526,3318407
26,BWA,Botswana,2630296,2546402
27,BRA,Brazil,215313498,213196304
28,VGB,British Virgin Islands,31305,30910
29,BRN,Brunei,449002,441725
30,BGR,Bulgaria,6781953,6979175
31,BFA,Burkina Faso,22673762,21522626
32,BDI,Burundi,12889576,12220227
33,KHM,Cambodia,16767842,16396860
34,CMR,Cameroon,27914536,26491087
35,CAN,Canada,38454327,37888705
36,CPV,Cape Verde,593149,582640
37,CYM,Cayman Islands,68706,67311
38,CAF,Central African Republic,5579144,5343020
39,TCD,Chad,17723315,16644701
40,CHL,Chile,19603733,19300315
41,CHN,China,1425887337,1424929781
42,COL,Colombia,51874024,50930662
43,COM,Comoros,836774,806166
44,COK,Cook Islands,17011,17029
45,CRI,Costa Rica,5180829,5123105
46,HRV,Croatia,4030358,4096868
47,CUB,Cuba,11212191,11300698
48,CUW,Curacao,191163,189288
49,CYP,Cyprus,1251488,1237537
50,CZE,Czech Republic,10493986,10530953
51,DNK,Denmark,5882261,5825641
52,DJI,Djibouti,1120849,1090156
53,DMA,Dominica,72737,71995
54,DOM,Dominican Republic,11228821,10999664
55,COD,Democratic Republic of the Congo,99010212,92853164
56,ECU,Ecuador,18001000,17588595
57,EGY,Egypt,110990103,107465134
58,SLV,El Salvador,6336392,6292731
59,GNQ,Equatorial Guinea,1674908,1596049
60,ERI,Eritrea,3684032,3555868
61,EST,Estonia,1326062,1329444
62,SWZ,Swaziland,1201670,1180655
63,ETH,Ethiopia,123379924,117190911
64,FLK,Falkland Islands,3780,3747
65,FRO,Faroe Islands,53090,52415
66,FJI,Fiji,929766,920422
67,FIN,Finland,5540745,5529468
68,FRA,France,64626628,64480053
69,GUF,French Guiana,304557,290969
70,PYF,French Polynesia,306279,301920
71,GAB,Gabon,2388992,2292573
72,GMB,Gambia,2705992,2573995
73,GEO,Georgia,3744385,3765912
74,DEU,Germany,83369843,83328988
75,GHA,Ghana,33475870,32180401
76,GIB,Gibraltar,32649,32709
77,GRC,Greece,10384971,10512232
78,GRL,Greenland,56466,56026
79,GRD,Grenada,125438,123663
80,GLP,Guadeloupe,395752,395642
81,GUM,Guam,171774,169231
82,GTM,Guatemala,17843908,17362718
83,GGY,Guernsey,63301,62794
84,GIN,Guinea,13859341,13205153
85,GNB,Guinea Bissau,2105566,2015828
86,GUY,Guyana,808726,797202
87,HTI,Haiti,11584996,11306801
88,HND,Honduras,10432860,10121763
89,HKG,Hong Kong,7488865,7500958
90,HUN,Hungary,9967308,9750573
91,ISL,Iceland,372899,366669
92,IND,India,1417173173,1396387127
93,IDN,Indonesia,275501339,271857970
94,IRN,Iran,88550570,87290193
95,IRQ,Iraq,44496122,42556984
96,IRL,Ireland,5023109,4946119
97,IMN,Isle of Man,84519,84046
98,ISR,Israel,9038309,8757489
99,ITA,Italy,59037474,59500579
100,CIV,Ivory Coast,28160542,26811790
101,JAM,Jamaica,2827377,2820436
102,JPN,Japan,123951692,125244761
103,JEY,Jersey,110778,108319
104,JOR,Jordan,11285869,10928721
105,KAZ,Kazakhstan,19397998,18979243
106,KEN,Kenya,54027487,51985780
107,KIR,Kiribati,131232,126463
108,KOS,Kosovo,1587000,1563000
109,KWT,Kuwait,4268873,4360444
110,KGZ,Kyrgyzstan,6630623,6424874
111,LAO,Laos,7529475,7319399
112,LVA,Latvia,1850651,1897052
113,LBN,Lebanon,5489739,5662923
114,LSO,Lesotho,2305825,2254100
115,LBR,Liberia,5302681,5087584
116,LBY,Libya,6812341,6653942
117,LIE,Liechtenstein,39327,38756
118,LTU,Lithuania,2750055,2820267
119,LUX,Luxembourg,647599,630399
120,MAC,Macau,695168,676283
121,MDG,Madagascar,29611714,28225177
122,MWI,Malawi,20405317,19377061
123,MYS,Malaysia,33938221,33199993
124,MDV,Maldives,523787,514438
125,MLI,Mali,22593590,21224040
126,MLT,Malta,533286,515357
127,MHL,Marshall Islands,41569,43413
128,MTQ,Martinique,367507,370391
129,MRT,Mauritania,4736139,4498604
130,MUS,Mauritius,1299469,1297828
131,MYT,Mayotte,326101,305587
132,MEX,Mexico,127504125,125998302
133,FSM,Micronesia,114164,112106
134,MDA,Moldova,3272996,3084847
135,MCO,Monaco,36469,36922
136,MNG,Mongolia,3398366,3294335
137,MNE,Montenegro,627082,629048
138,MSR,Montserrat,4390,4500
139,MAR,Morocco,37457971,36688772
140,MOZ,Mozambique,32969517,31178239
141,MMR,Myanmar,54179306,53423198
142,NAM,Namibia,2567012,2489098
143,NRU,Nauru,12668,12315
144,NPL,Nepal,30547580,29348627
145,NLD,Netherlands,17564014,17434557
146,NCL,New Caledonia,289950,286403
147,NZL,New Zealand,5185288,5061133
148,NIC,Nicaragua,6948392,6755895
149,NER,Niger,26207977,24333639
150,NGA,Nigeria,218541212,208327405
151,NIU,Niue,1934,1942
152,PRK,North Korea,26069416,25867467
