,iso_code,date,Infections absolute,Deaths absolute,Vaccinations absolute,Infections per million,Deaths per million,Vaccinations per million
0,ABW,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0
1,ABW,2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2,ABW,2020-03-01,46.0,0.0,0.0,426.7480000000001,0.0,0.0
3,ABW,2020-04-01,54.0,2.0,0.0,500.966,18.554,0.0
4,ABW,2020-05-01,1.0,1.0,0.0,9.277,9.277,0.0
5,ABW,2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0
6,ABW,2020-07-01,16.0,0.0,0.0,148.433,0.0,0.0
7,ABW,2020-08-01,1731.0,5.0,0.0,16058.705,46.385,0.0
8,ABW,2020-09-01,1908.0,17.0,0.0,17700.757,157.71099999999998,0.0
9,ABW,2020-10-01,633.0,11.0,0.0,5872.42,102.049,0.0
10,ABW,2020-11-01,402.0,9.0,0.0,3729.404,83.494,0.0
11,ABW,2020-12-01,437.0,2.0,0.0,4054.104,18.554,0.0
12,ABW,2021-01-01,1630.0,11.0,0.0,15121.716,102.048,0.0
13,ABW,2021-02-01,946.0,13.0,0.0,8776.161,120.602,0.0
14,ABW,2021-03-01,1269.0,11.0,0.0,11772.673,102.049,0.0
15,ABW,2021-04-01,1396.0,13.0,32484.0,12950.869,120.603,305131.55299223174
16,ABW,2021-05-01,488.0,12.0,32613.0,4527.236,111.325,306343.2870870476
17,ABW,2021-06-01,168.0,0.0,12377.0,1558.557,0.0,116260.7200894241
18,ABW,2021-07-01,167.0,2.0,9009.0,1549.281,18.554,84624.12759841817
19,ABW,2021-08-01,3026.0,24.0,6486.0,28072.584,222.651,60924.86309283386
20,ABW,2021-09-01,1033.0,27.0,7158.0,9583.272,250.483,67237.15233094431
21,ABW,2021-10-01,531.0,11.0,2639.0,4926.154,102.048,24788.885862162897
22,ABW,2021-11-01,381.0,3.0,1775.0,3534.585,27.831,16673.085413163753
23,ABW,2021-12-01,902.0,7.0,1328.0,8367.967,64.939,12474.2858753135
24,ABW,2022-01-01,15553.0,12.0,2050.0,144287.146,111.325,19256.239491259545
25,ABW,2022-02-01,937.0,18.0,1180.0,8692.667,166.988,11084.07931692013
26,ABW,2022-03-01,188.0,1.0,1161.0,1744.1,9.277,10905.6068533426
27,ABW,2022-04-01,603.0,0.0,719.0,5594.106,0.0,6753.773753275909
28,ABW,2022-05-01,2118.0,1.0,631.0,19648.953,9.277,5927.164448285255
29,ABW,2022-06-01,3615.0,8.0,654.0,33536.812,74.216,6143.210062089631
30,ABW,2022-07-01,1901.0,3.0,505.0,17635.817,27.831,4743.6102161395465
31,ABW,2022-08-01,670.0,3.0,351.0,6215.674,27.831,3297.043932405903
32,ABW,2022-09-01,220.0,1.0,257.0,2040.968,9.277,2414.074902074977
33,ABW,2022-10-01,364.0,4.0,175.0,3376.873,37.108,1643.8253224245957
34,ABW,2022-11-01,234.0,4.0,179.0,2170.848,37.108,1681.3984726514434
35,ABW,2022-12-01,184.0,44.0,114.0,1706.991,408.194,1070.834781465165
36,ABW,2023-01-01,241.0,1.0,119.0,2235.789,9.277,1117.801219248725
37,ABW,2023-02-01,51.0,1.0,79.0,473.133,9.277,742.069716980246
38,ABW,2023-03-01,55.0,5.0,117.0,510.242,46.386,1099.0146441353008
39,ABW,2023-04-01,15.0,0.0,78.0,139.157,0.0,732.6764294235339
40,ABW,2023-05-01,66.0,1.0,58.0,612.29,9.277,544.8106782892945
41,ABW,2023-06-01,20.0,2.0,5.0,185.543,18.554,46.96643778355987
42,ABW,2023-07-01,24.0,2.0,11.0,222.651,18.554,103.3261631238317
43,ABW,2023-08-01,0.0,0.0,5.0,0.0,0.0,46.96643778355987
44,ABW,2023-09-01,0.0,0.0,1.0,0.0,0.0,9.393287556711972
45,ABW,2023-10-01,0.0,0.0,0.0,0.0,0.0,0.0
46,ABW,2023-11-01,0.0,0.0,42.0,0.0,0.0,394.5180773819029
47,ABW,2023-12-01,0.0,0.0,6.0,0.0,0.0,56.35972534027184
48,AFG,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0
