,iso_code,Country,Total infections,Total deaths,Total vaccinations
0,AFG,Afghanistan,230375.0,7973.0,19151369.0
1,ALB,Albania,334596.0,3604.0,1349255.0
2,DZA,Algeria,272010.0,6881.0,0.0
3,ASM,American Samoa,8359.0,34.0,0.0
4,AND,Andorra,48015.0,159.0,57913.0
5,AGO,Angola,106928.0,1937.0,16550642.0
6,AIA,Anguilla,3904.0,12.0,10854.0
7,ATG,Antigua and Barbuda,9106.0,146.0,0.0
8,ARG,Argentina,10044957.0,130472.0,41523450.0
9,ARM,Armenia,451426.0,8775.0,1150915.0
10,ABW,Aruba,44224.0,292.0,90535.0
11,AUS,Australia,11721535.0,24344.0,0.0
12,AUT,Austria,6082170.0,22534.0,6899873.0
13,AZE,Azerbaijan,834254.0,10353.0,0.0
14,BHS,Bahamas,38147.0,846.0,174810.0
15,BHR,Bahrain,696614.0,1536.0,0.0
16,BGD,Bangladesh,2046292.0,29477.0,151504403.0
17,BRB,Barbados,107794.0,593.0,163853.0
18,BLR,Belarus,994037.0,7118.0,6536392.0
19,BEL,Belgium,4848745.0,34339.0,9261641.0
20,BLZ,Belize,71383.0,688.0,258473.0
21,BEN,Benin,28036.0,163.0,0.0
22,BMU,Bermuda,18860.0,165.0,0.0
23,BTN,Bhutan,62697.0,21.0,0.0
24,BOL,Bolivia,1212096.0,22385.0,0.0
25,BIH,Bosnia and Herzegovina,403508.0,16380.0,0.0
26,BWA,Botswana,330417.0,2800.0,1951054.0
27,BRA,Brazil,37511921.0,702116.0,189643431.0
28,VGB,British Virgin Islands,7420.0,64.0,0.0
29,BRN,Brunei,330776.0,171.0,451149.0
30,BGR,Bulgaria,1323578.0,38630.0,2155863.0
31,BFA,Burkina Faso,22109.0,400.0,6089089.0
32,BDI,Burundi,54461.0,15.0,36909.0
33,KHM,Cambodia,139014.0,3056.0,15316670.0
34,CMR,Cameroon,125137.0,1974.0,3753733.0
35,CAN,Canada,4774236.0,54441.0,34742937.0
36,CPV,Cape Verde,64474.0,417.0,0.0
37,CYM,Cayman Islands,31472.0,37.0,62113.0
38,CAF,Central African Republic,15440.0,113.0,2600389.0
39,TCD,Chad,7698.0,194.0,5147667.0
40,CHL,Chile,5332977.0,64482.0,18088517.0
41,CHN,China,99322727.0,121893.0,1310292000.0
42,COL,Colombia,6365994.0,142727.0,43012174.0
43,COM,Comoros,9109.0,160.0,0.0
44,COK,Cook Islands,7203.0,2.0,15112.0
45,CRI,Costa Rica,1230552.0,9366.0,4650636.0
46,HRV,Croatia,1309728.0,18687.0,2323025.0
47,CUB,Cuba,1113594.0,8530.0,10768788.0
48,CUW,Curacao,45883.0,305.0,0.0
49,CYP,Cyprus,675109.0,1394.0,671193.0
50,CZE,Czech Republic,4746623.0,43354.0,6981689.0
51,DNK,Denmark,3432346.0,9493.0,4746522.0
52,DJI,Djibouti,15690.0,189.0,421573.0
53,DMA,Dominica,16047.0,74.0,0.0
54,DOM,Dominican Republic,661103.0,4384.0,7367193.0
55,COD,Democratic Republic of the Congo,99338.0,1468.0,17045721.0
56,ECU,Ecuador,1068399.0,36024.0,15333873.0
57,EGY,Egypt,516023.0,24830.0,56907319.0
58,SLV,El Salvador,201836.0,4230.0,0.0
59,GNQ,Equatorial Guinea,17130.0,183.0,0.0
60,ERI,Eritrea,10189.0,103.0,0.0
61,EST,Estonia,608581.0,2972.0,870078.0
62,SWZ,Swaziland,75191.0,1427.0,526050.0
63,ETH,Ethiopia,501117.0,7574.0,52489512.0
64,FLK,Falkland Islands,1923.0,0.0,0.0
65,FRO,Faroe Islands,34658.0,28.0,0.0
66,FJI,Fiji,69047.0,885.0,712025.0
67,FIN,Finland,1499712.0,11408.0,4524253.0
68,FRA,France,38997490.0,168047.0,54677678.0
69,GUF,French Guiana,98041.0,413.0,0.0
70,PYF,French Polynesia,79227.0,649.0,190908.0
71,GAB,Gabon,49051.0,307.0,311244.0
